nberCC,nberOneNodeCC,highestNberNodesInCC,highestNberEdgesInCCs,nberEdgesInducedGraph
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
2,1,3,2,2
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
2,1,3,2,2
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
2,0,2,1,2
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
4,4,1,0,0
3,2,2,1,1
3,2,2,1,1
4,4,1,0,0
2,1,3,2,2
4,4,1,0,0
